Gene stable ID	Gene name	NCBI gene ID
WBGene00001019	dnj-1	178040
WBGene00001020	dnj-2	178043
WBGene00001021	dnj-3	182084
WBGene00001022	dnj-4	172173
WBGene00001023	dnj-5	174122
WBGene00001025	dnj-7	180983
WBGene00001026	dnj-8	174093
WBGene00001027	dnj-9	3565947
WBGene00001028	dnj-10	176211
WBGene00001029	dnj-11	177419
WBGene00001030	dnj-12	173341
WBGene00001031	dnj-13	3564910
WBGene00001032	dnj-14	180746
WBGene00001033	dnj-15	187149
WBGene00001034	dnj-16	175540
WBGene00001035	dnj-17	176761
WBGene00001036	dnj-18	175616
WBGene00001037	dnj-19	3565862
WBGene00001038	dnj-20	174514
WBGene00001039	dnj-21	172231
WBGene00001040	dnj-22	179227
WBGene00001041	dnj-23	174451
WBGene00001042	dnj-24	175745
WBGene00001043	dnj-25	180356
WBGene00001044	dnj-26	178171
WBGene00001045	dnj-27	173065
WBGene00001046	dnj-28	171870
WBGene00001047	dnj-29	173278
WBGene00001048	dnj-30	171833
WBGene00001049	dog-1	173370
WBGene00001050	dom-3	172124
WBGene00001051	cks-1	177658
WBGene00001052	dop-1	180714
WBGene00001053	dop-2	179347
WBGene00001054	dpf-1	180042
WBGene00001055	dpf-2	181579
